date,event_type,data,bin
2017-03-14,FOMC,FOMC for March 2017: Federal Funds Rate=0.79%,0-1%
2017-03-14,PPI,"PPI for March 2017: Index=191.50, YoY=5.16%",4-8%
2017-03-15,FOMC,FOMC for March 2017: Federal Funds Rate=0.79%,0-1%
2017-03-15,CPI,"CPI for March 2017: Index=243.89, YoY=2.44%",2-3%
2017-04-07,NFP,NFP for April 2017: Jobs added=205000,200-300K
2017-04-13,PPI,"PPI for April 2017: Index=193.00, YoY=5.35%",4-8%
2017-04-14,CPI,"CPI for April 2017: Index=244.19, YoY=2.18%",2-3%
2017-05-02,FOMC,FOMC for May 2017: Federal Funds Rate=0.91%,0-1%
2017-05-03,FOMC,FOMC for May 2017: Federal Funds Rate=0.91%,0-1%
2017-05-05,NFP,NFP for May 2017: Jobs added=206000,200-300K
2017-05-11,PPI,"PPI for May 2017: Index=192.80, YoY=4.05%",4-8%
2017-05-12,CPI,"CPI for May 2017: Index=244.00, YoY=1.86%",1-2%
2017-06-02,NFP,NFP for June 2017: Jobs added=203000,200-300K
2017-06-13,FOMC,FOMC for June 2017: Federal Funds Rate=1.04%,1-2%
2017-06-13,PPI,"PPI for June 2017: Index=193.60, YoY=3.20%",2-4%
2017-06-14,FOMC,FOMC for June 2017: Federal Funds Rate=1.04%,1-2%
2017-06-14,CPI,"CPI for June 2017: Index=244.16, YoY=1.64%",1-2%
2017-07-07,NFP,NFP for July 2017: Jobs added=189000,100-200K
2017-07-13,PPI,"PPI for July 2017: Index=193.50, YoY=3.09%",2-4%
2017-07-14,CPI,"CPI for July 2017: Index=244.24, YoY=1.73%",1-2%
2017-07-25,FOMC,FOMC for July 2017: Federal Funds Rate=1.15%,1-2%
2017-07-26,FOMC,FOMC for July 2017: Federal Funds Rate=1.15%,1-2%
2017-08-04,NFP,NFP for August 2017: Jobs added=147000,100-200K
2017-08-10,PPI,"PPI for August 2017: Index=193.80, YoY=3.86%",2-4%
2017-08-11,CPI,"CPI for August 2017: Index=245.18, YoY=1.93%",1-2%
2017-09-01,NFP,NFP for September 2017: Jobs added=88000,0-100K
2017-09-13,PPI,"PPI for September 2017: Index=194.80, YoY=4.23%",4-8%
2017-09-14,CPI,"CPI for September 2017: Index=246.44, YoY=2.18%",2-3%
2017-09-19,FOMC,FOMC for September 2017: Federal Funds Rate=1.15%,1-2%
2017-09-20,FOMC,FOMC for September 2017: Federal Funds Rate=1.15%,1-2%
2017-10-06,NFP,NFP for October 2017: Jobs added=143000,100-200K
2017-10-12,PPI,"PPI for October 2017: Index=194.90, YoY=4.39%",4-8%
2017-10-13,CPI,"CPI for October 2017: Index=246.63, YoY=2.02%",2-3%
2017-10-31,FOMC,FOMC for October 2017: Federal Funds Rate=1.15%,1-2%
2017-11-01,FOMC,FOMC for November 2017: Federal Funds Rate=1.16%,1-2%
2017-11-03,NFP,NFP for November 2017: Jobs added=223000,200-300K
2017-11-14,PPI,"PPI for November 2017: Index=195.90, YoY=5.15%",4-8%
2017-11-15,CPI,"CPI for November 2017: Index=247.28, YoY=2.17%",2-3%
2017-12-08,NFP,NFP for December 2017: Jobs added=150000,100-200K
2017-12-12,PPI,"PPI for December 2017: Index=196.30, YoY=4.30%",4-8%
2017-12-12,FOMC,FOMC for December 2017: Federal Funds Rate=1.30%,1-2%
2017-12-13,CPI,"CPI for December 2017: Index=247.81, YoY=2.13%",2-3%
2017-12-13,FOMC,FOMC for December 2017: Federal Funds Rate=1.30%,1-2%
2018-01-05,NFP,NFP for January 2018: Jobs added=137000,100-200K
2018-01-11,PPI,"PPI for January 2018: Index=197.90, YoY=3.78%",2-4%
2018-01-12,CPI,"CPI for January 2018: Index=248.86, YoY=2.15%",2-3%
2018-01-30,FOMC,FOMC for January 2018: Federal Funds Rate=1.41%,1-2%
2018-01-31,FOMC,FOMC for January 2018: Federal Funds Rate=1.41%,1-2%
2018-02-02,NFP,NFP for February 2018: Jobs added=394000,>300K
2018-02-14,CPI,"CPI for February 2018: Index=249.53, YoY=2.26%",2-3%
2018-02-15,PPI,"PPI for February 2018: Index=199.30, YoY=4.02%",4-8%
2018-03-09,NFP,NFP for March 2018: Jobs added=226000,200-300K
2018-03-13,CPI,"CPI for March 2018: Index=249.58, YoY=2.33%",2-3%
2018-03-14,PPI,"PPI for March 2018: Index=199.30, YoY=4.07%",4-8%
2018-03-20,FOMC,FOMC for March 2018: Federal Funds Rate=1.51%,1-2%
2018-03-21,FOMC,FOMC for March 2018: Federal Funds Rate=1.51%,1-2%
2018-04-06,NFP,NFP for April 2018: Jobs added=142000,100-200K
2018-04-10,PPI,"PPI for April 2018: Index=200.30, YoY=3.78%",2-4%
2018-04-11,CPI,"CPI for April 2018: Index=250.23, YoY=2.47%",2-3%
2018-05-01,FOMC,FOMC for May 2018: Federal Funds Rate=1.70%,1-2%
2018-05-02,FOMC,FOMC for May 2018: Federal Funds Rate=1.70%,1-2%
2018-05-04,NFP,NFP for May 2018: Jobs added=318000,>300K
2018-05-09,PPI,"PPI for May 2018: Index=203.20, YoY=5.39%",4-8%
2018-05-10,CPI,"CPI for May 2018: Index=250.79, YoY=2.78%",2-3%
2018-06-01,NFP,NFP for June 2018: Jobs added=219000,200-300K
2018-06-12,CPI,"CPI for June 2018: Index=251.02, YoY=2.81%",2-3%
2018-06-12,FOMC,FOMC for June 2018: Federal Funds Rate=1.82%,1-2%
2018-06-13,PPI,"PPI for June 2018: Index=204.20, YoY=5.48%",4-8%
2018-06-13,FOMC,FOMC for June 2018: Federal Funds Rate=1.82%,1-2%
2018-07-06,NFP,NFP for July 2018: Jobs added=61000,0-100K
2018-07-11,PPI,"PPI for July 2018: Index=204.30, YoY=5.58%",4-8%
2018-07-12,CPI,"CPI for July 2018: Index=251.21, YoY=2.85%",2-3%
2018-07-31,FOMC,FOMC for July 2018: Federal Funds Rate=1.91%,1-2%
2018-08-01,FOMC,FOMC for August 2018: Federal Funds Rate=1.91%,1-2%
2018-08-03,NFP,NFP for August 2018: Jobs added=259000,200-300K
2018-08-09,PPI,"PPI for August 2018: Index=203.40, YoY=4.95%",4-8%
2018-08-10,CPI,"CPI for August 2018: Index=251.66, YoY=2.64%",2-3%
2018-09-07,NFP,NFP for September 2018: Jobs added=79000,0-100K
2018-09-12,PPI,"PPI for September 2018: Index=203.60, YoY=4.52%",4-8%
2018-09-13,CPI,"CPI for September 2018: Index=252.18, YoY=2.33%",2-3%
2018-09-25,FOMC,FOMC for September 2018: Federal Funds Rate=1.95%,1-2%
2018-09-26,FOMC,FOMC for September 2018: Federal Funds Rate=1.95%,1-2%
2018-10-05,NFP,NFP for October 2018: Jobs added=168000,100-200K
2018-10-10,PPI,"PPI for October 2018: Index=204.60, YoY=4.98%",4-8%
2018-10-11,CPI,"CPI for October 2018: Index=252.77, YoY=2.49%",2-3%
2018-11-02,NFP,NFP for November 2018: Jobs added=91000,0-100K
2018-11-07,FOMC,FOMC for November 2018: Federal Funds Rate=2.20%,2-3%
2018-11-08,FOMC,FOMC for November 2018: Federal Funds Rate=2.20%,2-3%
2018-11-09,PPI,"PPI for November 2018: Index=202.30, YoY=3.27%",2-4%
2018-11-14,CPI,"CPI for November 2018: Index=252.59, YoY=2.15%",2-3%
2018-12-07,NFP,NFP for December 2018: Jobs added=192000,100-200K
2018-12-11,PPI,"PPI for December 2018: Index=201.00, YoY=2.39%",2-4%
2018-12-12,CPI,"CPI for December 2018: Index=252.77, YoY=2.00%",1-2%
2018-12-18,FOMC,FOMC for December 2018: Federal Funds Rate=2.27%,2-3%
2018-12-19,FOMC,FOMC for December 2018: Federal Funds Rate=2.27%,2-3%
2019-01-04,NFP,NFP for January 2019: Jobs added=250000,200-300K
2019-01-11,CPI,"CPI for January 2019: Index=252.56, YoY=1.49%",1-2%
2019-01-15,PPI,"PPI for January 2019: Index=199.10, YoY=0.61%",0-2%
2019-01-29,FOMC,FOMC for January 2019: Federal Funds Rate=2.40%,2-3%
2019-01-30,FOMC,FOMC for January 2019: Federal Funds Rate=2.40%,2-3%
2019-02-01,NFP,NFP for February 2019: Jobs added=6000,0-100K
2019-02-13,CPI,"CPI for February 2019: Index=253.32, YoY=1.52%",1-2%
2019-02-14,PPI,"PPI for February 2019: Index=199.20, YoY=-0.05%",<0%
2019-03-08,NFP,NFP for March 2019: Jobs added=230000,200-300K
2019-03-12,CPI,"CPI for March 2019: Index=254.28, YoY=1.88%",1-2%
2019-03-13,PPI,"PPI for March 2019: Index=200.80, YoY=0.75%",0-2%
2019-03-19,FOMC,FOMC for March 2019: Federal Funds Rate=2.41%,2-3%
2019-03-20,FOMC,FOMC for March 2019: Federal Funds Rate=2.41%,2-3%
2019-04-05,NFP,NFP for April 2019: Jobs added=298000,200-300K
2019-04-10,CPI,"CPI for April 2019: Index=255.23, YoY=2.00%",1-2%
2019-04-11,PPI,"PPI for April 2019: Index=202.10, YoY=0.90%",0-2%
2019-04-30,FOMC,FOMC for April 2019: Federal Funds Rate=2.42%,2-3%
2019-05-01,FOMC,FOMC for May 2019: Federal Funds Rate=2.39%,2-3%
2019-05-03,NFP,NFP for May 2019: Jobs added=28000,0-100K
2019-05-09,PPI,"PPI for May 2019: Index=201.70, YoY=-0.74%",<0%
2019-05-10,CPI,"CPI for May 2019: Index=255.30, YoY=1.80%",1-2%
2019-06-07,NFP,NFP for June 2019: Jobs added=218000,200-300K
2019-06-11,PPI,"PPI for June 2019: Index=200.30, YoY=-1.91%",<0%
2019-06-12,CPI,"CPI for June 2019: Index=255.21, YoY=1.67%",1-2%
2019-06-18,FOMC,FOMC for June 2019: Federal Funds Rate=2.38%,2-3%
2019-06-19,FOMC,FOMC for June 2019: Federal Funds Rate=2.38%,2-3%
2019-07-05,NFP,NFP for July 2019: Jobs added=97000,0-100K
2019-07-11,CPI,"CPI for July 2019: Index=255.80, YoY=1.83%",1-2%
2019-07-12,PPI,"PPI for July 2019: Index=200.70, YoY=-1.76%",<0%
2019-07-30,FOMC,FOMC for July 2019: Federal Funds Rate=2.40%,2-3%
2019-07-31,FOMC,FOMC for July 2019: Federal Funds Rate=2.40%,2-3%
2019-08-02,NFP,NFP for August 2019: Jobs added=235000,200-300K
2019-08-09,PPI,"PPI for August 2019: Index=199.20, YoY=-2.06%",<0%
2019-08-13,CPI,"CPI for August 2019: Index=256.04, YoY=1.74%",1-2%
2019-09-06,NFP,NFP for September 2019: Jobs added=194000,100-200K
2019-09-11,PPI,"PPI for September 2019: Index=198.40, YoY=-2.55%",<0%
2019-09-12,CPI,"CPI for September 2019: Index=256.43, YoY=1.68%",1-2%
2019-09-17,FOMC,FOMC for September 2019: Federal Funds Rate=2.04%,2-3%
2019-09-18,FOMC,FOMC for September 2019: Federal Funds Rate=2.04%,2-3%
2019-10-04,NFP,NFP for October 2019: Jobs added=95000,0-100K
2019-10-08,PPI,"PPI for October 2019: Index=198.60, YoY=-2.93%",<0%
2019-10-10,CPI,"CPI for October 2019: Index=257.15, YoY=1.73%",1-2%
2019-10-29,FOMC,FOMC for October 2019: Federal Funds Rate=1.83%,1-2%
2019-10-30,FOMC,FOMC for October 2019: Federal Funds Rate=1.83%,1-2%
2019-11-01,NFP,NFP for November 2019: Jobs added=208000,200-300K
2019-11-13,CPI,"CPI for November 2019: Index=257.88, YoY=2.09%",2-3%
2019-11-14,PPI,"PPI for November 2019: Index=199.00, YoY=-1.63%",<0%
2019-12-06,NFP,NFP for December 2019: Jobs added=127000,100-200K
2019-12-10,FOMC,FOMC for December 2019: Federal Funds Rate=1.55%,1-2%
2019-12-11,FOMC,FOMC for December 2019: Federal Funds Rate=1.55%,1-2%
2019-12-11,CPI,"CPI for December 2019: Index=258.63, YoY=2.32%",2-3%
2019-12-12,PPI,"PPI for December 2019: Index=199.00, YoY=-1.00%",<0%
2020-01-10,NFP,NFP for January 2020: Jobs added=236000,200-300K
2020-01-14,CPI,"CPI for January 2020: Index=259.13, YoY=2.60%",2-3%
2020-01-15,PPI,"PPI for January 2020: Index=199.30, YoY=0.10%",0-2%
2020-01-28,FOMC,FOMC for January 2020: Federal Funds Rate=1.55%,1-2%
2020-01-29,FOMC,FOMC for January 2020: Federal Funds Rate=1.55%,1-2%
2020-02-07,NFP,NFP for February 2020: Jobs added=261000,200-300K
2020-02-13,CPI,"CPI for February 2020: Index=259.25, YoY=2.34%",2-3%
2020-02-14,PPI,"PPI for February 2020: Index=196.70, YoY=-1.26%",<0%
2020-03-03,FOMC,FOMC for March 2020: Federal Funds Rate=0.65%,0-1%
2020-03-06,NFP,NFP for March 2020: Jobs added=-1397000,<0K
2020-03-11,CPI,"CPI for March 2020: Index=258.08, YoY=1.49%",1-2%
2020-03-12,PPI,"PPI for March 2020: Index=193.10, YoY=-3.83%",<0%
2020-03-15,FOMC,FOMC for March 2020: Federal Funds Rate=0.65%,0-1%
2020-04-03,NFP,NFP for April 2020: Jobs added=-20471000,<0K
2020-04-09,PPI,"PPI for April 2020: Index=185.50, YoY=-8.21%",<0%
2020-04-10,CPI,"CPI for April 2020: Index=256.03, YoY=0.31%",0-1%
2020-04-28,FOMC,FOMC for April 2020: Federal Funds Rate=0.05%,0-1%
2020-04-29,FOMC,FOMC for April 2020: Federal Funds Rate=0.05%,0-1%
2020-05-08,NFP,NFP for May 2020: Jobs added=2616000,>300K
2020-05-12,CPI,"CPI for May 2020: Index=255.80, YoY=0.20%",0-1%
2020-05-13,PPI,"PPI for May 2020: Index=188.60, YoY=-6.49%",<0%
2020-06-05,NFP,NFP for June 2020: Jobs added=4631000,>300K
2020-06-09,FOMC,FOMC for June 2020: Federal Funds Rate=0.08%,0-1%
2020-06-10,FOMC,FOMC for June 2020: Federal Funds Rate=0.08%,0-1%
2020-06-10,CPI,"CPI for June 2020: Index=257.04, YoY=0.72%",0-1%
2020-06-11,PPI,"PPI for June 2020: Index=191.20, YoY=-4.54%",<0%
2020-07-02,NFP,NFP for July 2020: Jobs added=1584000,>300K
2020-07-10,PPI,"PPI for July 2020: Index=193.00, YoY=-3.84%",<0%
2020-07-14,CPI,"CPI for July 2020: Index=258.35, YoY=1.00%",0-1%
2020-07-28,FOMC,FOMC for July 2020: Federal Funds Rate=0.09%,0-1%
2020-07-29,FOMC,FOMC for July 2020: Federal Funds Rate=0.09%,0-1%
2020-08-07,NFP,NFP for August 2020: Jobs added=1564000,>300K
2020-08-11,PPI,"PPI for August 2020: Index=194.30, YoY=-2.46%",<0%
2020-08-12,CPI,"CPI for August 2020: Index=259.32, YoY=1.28%",1-2%
2020-09-04,NFP,NFP for September 2020: Jobs added=951000,>300K
2020-09-10,PPI,"PPI for September 2020: Index=195.50, YoY=-1.46%",<0%
2020-09-11,CPI,"CPI for September 2020: Index=260.00, YoY=1.39%",1-2%
2020-09-15,FOMC,FOMC for September 2020: Federal Funds Rate=0.09%,0-1%
2020-09-16,FOMC,FOMC for September 2020: Federal Funds Rate=0.09%,0-1%
2020-10-02,NFP,NFP for October 2020: Jobs added=691000,>300K
2020-10-13,CPI,"CPI for October 2020: Index=260.32, YoY=1.23%",1-2%
2020-10-14,PPI,"PPI for October 2020: Index=196.50, YoY=-1.06%",<0%
2020-11-04,FOMC,FOMC for November 2020: Federal Funds Rate=0.09%,0-1%
2020-11-05,FOMC,FOMC for November 2020: Federal Funds Rate=0.09%,0-1%
2020-11-06,NFP,NFP for November 2020: Jobs added=270000,200-300K
2020-11-12,CPI,"CPI for November 2020: Index=260.91, YoY=1.18%",1-2%
2020-11-13,PPI,"PPI for November 2020: Index=198.30, YoY=-0.35%",<0%
2020-12-04,NFP,NFP for December 2020: Jobs added=-183000,<0K
2020-12-10,CPI,"CPI for December 2020: Index=262.05, YoY=1.32%",1-2%
2020-12-11,PPI,"PPI for December 2020: Index=200.50, YoY=0.75%",0-2%
2020-12-15,FOMC,FOMC for December 2020: Federal Funds Rate=0.09%,0-1%
2020-12-16,FOMC,FOMC for December 2020: Federal Funds Rate=0.09%,0-1%
2021-01-08,NFP,NFP for January 2021: Jobs added=365000,>300K
2021-01-13,CPI,"CPI for January 2021: Index=262.64, YoY=1.36%",1-2%
2021-01-15,PPI,"PPI for January 2021: Index=204.80, YoY=2.76%",2-4%
2021-01-26,FOMC,FOMC for January 2021: Federal Funds Rate=0.09%,0-1%
2021-01-27,FOMC,FOMC for January 2021: Federal Funds Rate=0.09%,0-1%
2021-02-05,NFP,NFP for February 2021: Jobs added=509000,>300K
2021-02-10,CPI,"CPI for February 2021: Index=263.57, YoY=1.67%",1-2%
2021-02-17,PPI,"PPI for February 2021: Index=210.60, YoY=7.07%",4-8%
2021-03-05,NFP,NFP for March 2021: Jobs added=824000,>300K
2021-03-10,CPI,"CPI for March 2021: Index=264.85, YoY=2.62%",2-3%
2021-03-12,PPI,"PPI for March 2021: Index=215.00, YoY=11.34%",>8%
2021-03-16,FOMC,FOMC for March 2021: Federal Funds Rate=0.07%,0-1%
2021-03-17,FOMC,FOMC for March 2021: Federal Funds Rate=0.07%,0-1%
2021-04-02,NFP,NFP for April 2021: Jobs added=365000,>300K
2021-04-09,PPI,"PPI for April 2021: Index=217.90, YoY=17.47%",>8%
2021-04-13,CPI,"CPI for April 2021: Index=266.62, YoY=4.14%",3-5%
2021-04-27,FOMC,FOMC for April 2021: Federal Funds Rate=0.07%,0-1%
2021-04-28,FOMC,FOMC for April 2021: Federal Funds Rate=0.07%,0-1%
2021-05-07,NFP,NFP for May 2021: Jobs added=421000,>300K
2021-05-12,CPI,"CPI for May 2021: Index=268.40, YoY=4.93%",3-5%
2021-05-13,PPI,"PPI for May 2021: Index=224.90, YoY=19.25%",>8%
2021-06-04,NFP,NFP for June 2021: Jobs added=796000,>300K
2021-06-10,CPI,"CPI for June 2021: Index=270.71, YoY=5.32%",>5%
2021-06-15,FOMC,FOMC for June 2021: Federal Funds Rate=0.08%,0-1%
2021-06-15,PPI,"PPI for June 2021: Index=228.90, YoY=19.72%",>8%
2021-06-16,FOMC,FOMC for June 2021: Federal Funds Rate=0.08%,0-1%
2021-07-02,NFP,NFP for July 2021: Jobs added=931000,>300K
2021-07-13,CPI,"CPI for July 2021: Index=271.96, YoY=5.27%",>5%
2021-07-14,PPI,"PPI for July 2021: Index=231.85, YoY=20.13%",>8%
2021-07-27,FOMC,FOMC for July 2021: Federal Funds Rate=0.10%,0-1%
2021-07-28,FOMC,FOMC for July 2021: Federal Funds Rate=0.10%,0-1%
2021-08-06,NFP,NFP for August 2021: Jobs added=487000,>300K
2021-08-11,CPI,"CPI for August 2021: Index=272.75, YoY=5.18%",>5%
2021-08-12,PPI,"PPI for August 2021: Index=233.41, YoY=20.13%",>8%
2021-09-03,NFP,NFP for September 2021: Jobs added=466000,>300K
2021-09-10,PPI,"PPI for September 2021: Index=235.68, YoY=20.55%",>8%
