date,timestamp,touch_type,touch_price,close_at_touch,continuation_move_pct,reversal_move_pct,open_position,day_of_week,continuation_move_pct_60min,reversal_move_pct_60min
2015-02-23,2015-02-23 14:16:00,Previous High,108.47,108.46,0.0092,-0.0277,Between Previous High and Low,Monday,0.0092,-0.3042
2015-02-24,2015-02-24 10:00:00,Previous Low,108.11,108.09,-0.0555,0.2497,Between Previous High and Low,Tuesday,-0.0555,0.3607
2015-02-24,2015-02-24 11:09:00,Previous High,108.56,108.55,0.0921,-0.0184,Between Previous High and Low,Tuesday,0.1382,-0.0737
2015-02-25,2015-02-25 11:51:00,Previous High,108.73,108.72,-0.0092,-0.1104,Between Previous High and Low,Wednesday,0.0276,-0.138
2015-02-26,2015-02-26 12:47:00,Previous High,108.86,108.86,0.0092,-0.0827,Between Previous High and Low,Thursday,0.0092,-0.1883
2015-03-02,2015-03-02 09:49:00,Previous High,108.91,108.9266,0.1469,-0.0017,Between Previous High and Low,Monday,0.3122,-0.0017
2015-03-03,2015-03-03 10:36:00,Previous Low,108.59,108.6468,0.054,0.221,Between Previous High and Low,Tuesday,-0.2671,0.221
2015-03-04,2015-03-04 09:39:00,Previous Low,108.18,108.08,-0.2034,-0.037,Between Previous High and Low,Wednesday,-0.2958,0.0185
2015-03-05,2015-03-05 09:30:00,Previous High,108.67,108.67,-0.0736,0.092,Above Previous High,Thursday,-0.0828,0.2669
2015-03-06,2015-03-06 11:06:00,Previous Low,108.19,108.21,-0.1202,0.0462,Between Previous High and Low,Friday,-0.5453,0.0462
2015-03-11,2015-03-11 09:35:00,Previous Low,105.69,105.75,-0.1608,0.1419,Between Previous High and Low,Wednesday,-0.1892,0.3028
2015-03-12,2015-03-12 09:30:00,Previous Low,105.06,105.07,0.3046,-0.0761,Below Previous Low,Thursday,0.6277,-0.0761
2015-03-13,2015-03-13 09:38:00,Previous High,105.92,105.94,0.1888,-0.0566,Between Previous High and Low,Friday,0.1888,-0.5193
2015-03-13,2015-03-13 11:00:00,Previous Low,104.96,104.95,-0.0191,0.1763,Between Previous High and Low,Friday,-0.1715,0.2401
2015-03-16,2015-03-16 09:54:00,Previous High,106.12,106.16,0.1225,-0.0377,Between Previous High and Low,Monday,0.2356,-0.0377
2015-03-17,2015-03-17 13:06:00,Previous High,106.73,106.7268,0.075,-0.0187,Between Previous High and Low,Tuesday,0.2155,-0.0515
2015-03-18,2015-03-18 13:38:00,Previous Low,106.16,106.1599,-0.1225,-0.0094,Between Previous High and Low,Wednesday,-0.1225,1.6475
2015-03-18,2015-03-18 14:01:00,Previous High,107.04,107.06,0.5138,-0.0,Between Previous High and Low,Wednesday,0.8128,-0.0
2015-03-23,2015-03-23 09:31:00,Previous Low,108.51,108.47,0.1014,-0.1751,Below Previous Low,Monday,0.2212,-0.1751
2015-03-24,2015-03-24 09:30:00,Previous Low,108.28,108.39,-0.1339,0.1385,Between Previous High and Low,Tuesday,-0.157,0.3417
2015-03-24,2015-03-24 11:16:00,Previous High,108.77,108.7799,0.0368,-0.0368,Between Previous High and Low,Tuesday,0.0368,-0.0644
2015-03-25,2015-03-25 09:35:00,Previous Low,107.91,107.88,-0.2502,-0.0185,Between Previous High and Low,Wednesday,-0.6301,-0.0185
2015-03-26,2015-03-26 12:01:00,Previous Low,105.42,105.43,0.0095,-0.2039,Below Previous Low,Thursday,0.0095,-0.3984
2015-03-27,2015-03-27 15:54:00,Previous High,105.7,105.72,0.0662,-0.2365,Between Previous High and Low,Friday,0.0662,-0.2365
2015-03-31,2015-03-31 09:44:00,Previous Low,106.16,106.2,-0.1319,0.1319,Between Previous High and Low,Tuesday,-0.1319,0.292
2015-04-01,2015-04-01 09:30:00,Previous Low,105.56,105.45,-0.6442,0.0568,Between Previous High and Low,Wednesday,-1.1273,0.0568
2015-04-06,2015-04-06 09:35:00,Previous Low,104.78,104.79,0.4199,-0.0,Below Previous Low,Monday,1.0317,-0.0
2015-04-06,2015-04-06 10:17:00,Previous High,105.46,105.47,0.1707,-0.0948,Below Previous Low,Monday,0.3802,-0.0948
2015-04-07,2015-04-07 09:34:00,Previous High,106.27,106.3,0.1411,-0.0,Between Previous High and Low,Tuesday,0.3764,-0.2352
2015-04-08,2015-04-08 14:18:00,Previous High,106.7,106.61,0.0843,-0.1593,Between Previous High and Low,Wednesday,0.0843,-0.4124
2015-04-09,2015-04-09 09:32:00,Previous High,106.79,106.92,0.3184,-0.1592,Between Previous High and Low,Thursday,0.3184,-0.2528
2015-04-10,2015-04-10 09:31:00,Previous High,107.35,107.33,0.0466,-0.2049,Between Previous High and Low,Friday,0.0932,-0.2981
2015-04-13,2015-04-13 13:11:00,Previous High,107.76,107.77,-0.0093,0.065,Above Previous High,Monday,-0.2598,0.065
2015-04-14,2015-04-14 09:30:00,Previous Low,107.36,107.537,0.1304,0.2981,Between Previous High and Low,Tuesday,-0.6893,0.2981
2015-04-15,2015-04-15 09:55:00,Previous High,107.68,107.59,-0.0557,-0.1672,Between Previous High and Low,Wednesday,-0.0557,-0.2507
2015-04-20,2015-04-20 09:46:00,Previous High,106.95,107.0,0.1777,0.0561,Between Previous High and Low,Monday,0.3179,0.0468
2015-04-22,2015-04-22 09:30:00,Previous High,108.41,108.31,-0.0553,-0.2306,Between Previous High and Low,Wednesday,-0.0553,-0.7103
2015-04-22,2015-04-22 09:47:00,Previous Low,107.93,107.91,-0.0463,0.0649,Between Previous High and Low,Wednesday,-0.2687,0.1575
2015-04-23,2015-04-23 10:02:00,Previous High,108.83,108.83,0.0092,-0.1654,Between Previous High and Low,Thursday,0.0092,-0.3675
2015-04-27,2015-04-27 11:05:00,Previous High,110.69,110.71,0.0172,0.1717,Above Previous High,Monday,-0.0903,0.2259
2015-04-28,2015-04-28 09:46:00,Previous Low,110.02,110.1,-0.1909,0.0909,Between Previous High and Low,Tuesday,-0.8271,0.0909
2015-04-29,2015-04-29 12:12:00,Previous Low,109.11,109.02,-0.1466,-0.0367,Between Previous High and Low,Wednesday,-0.3299,0.0183
2015-04-30,2015-04-30 09:30:00,Previous Low,108.75,108.67,0.3218,-0.1011,Below Previous Low,Thursday,0.3862,-0.4966
2015-05-06,2015-05-06 09:39:00,Previous Low,107.4,107.4,-0.5307,0.0466,Between Previous High and Low,Wednesday,-0.8752,0.0466
2015-05-11,2015-05-11 09:34:00,Previous High,108.92,108.9,0.0551,-0.2479,Between Previous High and Low,Monday,0.0551,-0.5325
2015-05-11,2015-05-11 15:00:00,Previous Low,108.3,108.251,-0.1016,0.0554,Between Previous High and Low,Monday,-0.1016,0.1662
2015-05-12,2015-05-12 13:10:00,Previous Low,108.19,108.2,0.0924,-0.0462,Below Previous Low,Tuesday,0.0924,-0.268
2015-05-13,2015-05-13 09:31:00,Previous High,108.33,108.416,0.4431,0.0369,Between Previous High and Low,Wednesday,0.4431,0.0369
2015-05-14,2015-05-14 09:30:00,Previous High,108.81,108.93,-0.1011,0.1379,Above Previous High,Thursday,-0.3033,0.2481
2015-05-15,2015-05-15 09:37:00,Previous High,109.67,109.7,-0.1277,0.0678,Above Previous High,Friday,-0.2827,0.1094
2015-05-18,2015-05-18 13:32:00,Previous High,110.01,110.02,0.0545,-0.0091,Between Previous High and Low,Monday,0.1909,-0.0091
2015-05-19,2015-05-19 09:31:00,Previous High,110.28,110.26,0.0635,-0.2176,Between Previous High and Low,Tuesday,0.0635,-0.3264
2015-05-20,2015-05-20 09:34:00,Previous Low,109.76,109.6399,-0.2642,-0.0729,Between Previous High and Low,Wednesday,-0.3052,0.1139
2015-05-20,2015-05-20 14:25:00,Previous High,110.35,110.35,0.29,-0.0091,Between Previous High and Low,Wednesday,0.29,-0.4803
2015-05-21,2015-05-21 12:34:00,Previous High,110.67,110.66,0.0,-0.0994,Between Previous High and Low,Thursday,0.0,-0.1355
2015-05-22,2015-05-22 09:41:00,Previous High,110.73,110.71,0.0271,-0.1264,Between Previous High and Low,Friday,0.0542,-0.1264
2015-05-26,2015-05-26 09:33:00,Previous Low,110.38,110.25,-0.1087,-0.3624,Below Previous Low,Tuesday,-0.1087,-1.0962
2015-05-27,2015-05-27 11:01:00,Previous High,110.38,110.365,-0.0091,-0.0906,Between Previous High and Low,Wednesday,0.0906,-0.1359
2015-05-29,2015-05-29 10:11:00,Previous Low,110.37,110.42,-0.0815,0.0815,Between Previous High and Low,Friday,-0.5255,0.1138
2015-06-01,2015-06-01 09:52:00,Previous Low,109.79,109.84,0.0182,0.3552,Between Previous High and Low,Monday,-0.2459,0.3734
2015-06-02,2015-06-02 09:49:00,Previous Low,109.52,109.52,-0.0457,0.2922,Between Previous High and Low,Tuesday,-0.0457,0.6757
2015-06-03,2015-06-03 09:30:00,Previous High,110.61,110.61,0.0814,-0.3797,Between Previous High and Low,Wednesday,0.1808,-0.3797
2015-06-04,2015-06-04 09:40:00,Previous Low,110.13,110.21,0.0817,-0.1616,Below Previous Low,Thursday,0.3178,-0.1616
2015-06-05,2015-06-05 09:33:00,Previous Low,109.21,109.22,-0.5311,0.0183,Between Previous High and Low,Friday,-0.5311,0.3205
2015-06-08,2015-06-08 11:40:00,Previous Low,108.63,108.6299,-0.0368,0.1013,Between Previous High and Low,Monday,-0.1381,0.1013
2015-06-09,2015-06-09 09:30:00,Previous Low,107.97,107.93,0.1389,-0.1482,Below Previous Low,Tuesday,0.1389,-0.6391
2015-06-10,2015-06-10 09:30:00,Previous High,108.4,108.37,0.1937,-0.1292,Between Previous High and Low,Wednesday,0.5904,-0.1292
2015-06-11,2015-06-11 09:30:00,Previous High,109.81,109.84,-0.0273,0.2277,Above Previous High,Thursday,-0.082,0.3096
2015-06-16,2015-06-16 09:36:00,Previous High,108.38,108.38,0.1938,-0.0461,Between Previous High and Low,Tuesday,0.1938,-0.3045
2015-06-17,2015-06-17 09:30:00,Previous High,108.9799,109.0,0.0184,0.2111,Above Previous High,Wednesday,0.0001,0.2111
2015-06-18,2015-06-18 09:30:00,Previous High,109.45,109.73,0.1599,0.3746,Above Previous High,Thursday,0.1599,0.8771
2015-06-22,2015-06-22 09:44:00,Previous High,110.575,110.68,0.0769,0.2125,Above Previous High,Monday,0.0769,0.2939
2015-06-23,2015-06-23 10:28:00,Previous Low,110.45,110.43,-0.0362,0.0815,Between Previous High and Low,Tuesday,-0.1086,0.172
2015-06-24,2015-06-24 10:28:00,Previous High,110.89,110.97,0.2164,0.0812,Between Previous High and Low,Wednesday,0.2164,-0.1172
2015-06-24,2015-06-24 13:27:00,Previous Low,110.33,110.34,-0.0,0.0725,Between Previous High and Low,Wednesday,-0.0997,0.0906
2015-06-25,2015-06-25 14:05:00,Previous Low,110.19,110.17,-0.2087,0.009,Between Previous High and Low,Thursday,-0.3403,0.0272
2015-06-26,2015-06-26 09:32:00,Previous Low,109.815,109.81,-0.2322,0.0137,Between Previous High and Low,Friday,-0.2322,0.3779
2015-07-01,2015-07-01 10:50:00,Previous High,107.72,107.771,0.0371,0.2506,Above Previous High,Wednesday,0.0325,0.2878
2015-07-06,2015-07-06 09:49:00,Previous Low,107.62,107.58,0.0743,-0.1069,Below Previous Low,Monday,0.6504,-0.1266
2015-07-06,2015-07-06 10:46:00,Previous High,108.32,108.25,-0.0462,-0.2308,Below Previous Low,Monday,-0.0462,-0.6185
2015-07-07,2015-07-07 10:00:00,Previous Low,107.04,107.06,-0.3457,0.0514,Between Previous High and Low,Tuesday,-0.9809,0.0514
2015-07-09,2015-07-09 09:37:00,Previous High,107.33,107.39,-0.1185,0.121,Above Previous High,Thursday,-0.41,0.121
2015-07-10,2015-07-10 11:08:00,Previous High,107.5955,107.57,0.0228,-0.0795,Between Previous High and Low,Friday,0.2458,-0.0888
2015-07-14,2015-07-14 09:30:00,Previous High,109.63,109.67,0.0091,0.2463,Above Previous High,Tuesday,0.0091,0.4378
2015-07-15,2015-07-15 09:34:00,Previous High,110.56,110.55,0.0045,-0.2198,Between Previous High and Low,Wednesday,0.1899,-0.2198
2015-07-20,2015-07-20 09:36:00,Previous High,113.59,113.548,-0.0616,0.1144,Above Previous High,Monday,-0.0968,0.2289
2015-07-23,2015-07-23 15:00:00,Previous Low,112.165,112.21,-0.1114,0.0401,Between Previous High and Low,Thursday,-0.2273,0.0669
2015-07-24,2015-07-24 12:42:00,Previous Low,111.91,111.911,-0.0536,0.0447,Between Previous High and Low,Friday,-0.5138,0.0447
2015-07-27,2015-07-27 10:39:00,Previous Low,110.93,110.9,0.0144,-0.1894,Below Previous Low,Monday,0.0144,-0.5769
2015-07-28,2015-07-28 09:50:00,Previous Low,109.94,109.94,-0.0182,0.4366,Between Previous High and Low,Tuesday,-0.141,0.4366
2015-07-28,2015-07-28 13:12:00,Previous High,110.946,110.9468,0.1163,-0.0054,Between Previous High and Low,Tuesday,0.3371,-0.0743
2015-07-29,2015-07-29 09:30:00,Previous High,111.35,111.34,-0.0629,0.1617,Above Previous High,Wednesday,-0.3682,0.1617
2015-07-30,2015-07-30 09:47:00,Previous Low,110.94,110.96,-0.1487,0.018,Between Previous High and Low,Thursday,-0.2875,0.2975
2015-07-30,2015-07-30 12:00:00,Previous High,111.79,111.81,0.0358,-0.1073,Between Previous High and Low,Thursday,0.2863,-0.1073
2015-07-31,2015-07-31 09:31:00,Previous High,112.2663,112.24,-0.2016,0.0924,Above Previous High,Friday,-0.353,0.0924
2015-08-03,2015-08-03 10:25:00,Previous Low,111.72,111.68,-0.1164,0.0537,Between Previous High and Low,Monday,-0.1164,0.3661
2015-08-06,2015-08-06 09:37:00,Previous Low,111.88,111.84,-0.0983,0.1162,Between Previous High and Low,Thursday,-0.6882,0.1162
2015-08-07,2015-08-07 09:33:00,Previous Low,109.95,109.99,-0.091,0.292,Between Previous High and Low,Friday,-0.1637,0.5639
2015-08-11,2015-08-11 09:30:00,Previous Low,111.0,111.02,0.2702,-0.2613,Below Previous Low,Tuesday,0.3695,-0.2613
2015-08-12,2015-08-12 13:03:00,Previous Low,109.53,109.54,0.1461,-0.0548,Below Previous Low,Wednesday,0.7121,-0.0548
2015-08-13,2015-08-13 09:32:00,Previous High,110.735,110.76,0.1851,-0.3386,Between Previous High and Low,Thursday,0.1851,-0.5734
2015-08-14,2015-08-14 09:30:00,Previous Low,110.1,110.15,0.2089,-0.1544,Below Previous Low,Friday,0.3451,-0.1544
2015-08-17,2015-08-17 10:16:00,Previous High,110.67,110.67,0.1536,-0.0542,Between Previous High and Low,Monday,0.3947,-0.1536
2015-08-19,2015-08-19 14:07:00,Previous Low,110.71,110.77,0.3568,0.0361,Below Previous Low,Wednesday,0.3568,-0.6955
2015-08-24,2015-08-24 12:27:00,Previous Low,102.51,102.495,0.0195,-0.556,Below Previous Low,Monday,0.0195,-1.1316
2015-08-25,2015-08-25 11:15:00,Previous High,102.53,102.5,0.2048,-0.1852,Between Previous High and Low,Tuesday,0.2048,-0.4194
2015-08-26,2015-08-26 15:42:00,Previous High,102.74,102.75,0.4283,-0.0779,Between Previous High and Low,Wednesday,0.5256,-0.0779
2015-08-27,2015-08-27 15:06:00,Previous High,103.28,103.545,0.0968,0.7165,Above Previous High,Thursday,0.0968,2.4012
2015-08-28,2015-08-28 11:21:00,Previous High,105.76,105.76,0.1229,-0.0662,Between Previous High and Low,Friday,0.2269,-0.7281
2015-08-31,2015-08-31 09:49:00,Previous Low,104.85,104.88,-0.1144,0.2861,Between Previous High and Low,Monday,-0.4673,0.4292
2015-09-02,2015-09-02 15:46:00,Previous High,103.29,103.315,0.3582,-0.0968,Between Previous High and Low,Wednesday,0.6583,-0.0968
2015-09-03,2015-09-03 12:40:00,Previous High,103.97,103.94,-0.0481,0.2308,Above Previous High,Thursday,-0.4569,0.428
2015-09-09,2015-09-09 10:54:00,Previous High,105.165,105.15,-0.0333,0.2044,Above Previous High,Wednesday,-0.0903,0.3471
2015-09-14,2015-09-14 09:35:00,Previous High,105.64,105.61,-0.3029,-0.0095,Above Previous High,Monday,-0.549,-0.0095
2015-09-15,2015-09-15 10:31:00,Previous High,105.98,105.96,0.0849,-0.084,Between Previous High and Low,Tuesday,0.3303,-0.084
2015-09-16,2015-09-16 11:26:00,Previous High,106.82,106.8,0.0374,-0.0983,Between Previous High and Low,Wednesday,0.0749,-0.2153
2015-09-17,2015-09-17 10:18:00,Previous High,107.19,107.16,0.042,-0.0933,Between Previous High and Low,Thursday,0.0933,-0.1866
2015-09-21,2015-09-21 12:33:00,Previous Low,105.17,105.17,-0.0475,0.1474,Between Previous High and Low,Monday,-0.4184,0.2377
2015-09-23,2015-09-23 10:29:00,Previous High,104.4225,104.365,0.1125,-0.0694,Between Previous High and Low,Wednesday,0.2274,-0.328
2015-09-24,2015-09-24 14:48:00,Previous Low,103.64,103.7,0.5307,-0.0193,Below Previous Low,Thursday,0.5307,-0.2123
2015-09-25,2015-09-25 10:33:00,Previous High,104.19,104.22,0.0261,0.2687,Above Previous High,Friday,0.0261,0.5663
2015-09-28,2015-09-28 09:31:00,Previous Low,102.28,102.249,-0.3129,0.1369,Between Previous High and Low,Monday,-1.1048,0.2444
2015-09-29,2015-09-29 09:43:00,Previous Low,99.69,99.69,-0.1705,0.2207,Between Previous High and Low,Tuesday,-0.1705,1.5749
2015-09-30,2015-09-30 09:36:00,Previous High,101.26,101.35,0.2,-0.2568,Between Previous High and Low,Wednesday,0.5432,-0.2963
2015-10-01,2015-10-01 09:32:00,Previous High,101.87,101.93,-0.7166,0.0785,Above Previous High,Thursday,-1.1387,0.0785
2015-10-02,2015-10-02 09:34:00,Previous Low,100.59,100.62,-0.0594,0.507,Between Previous High and Low,Friday,-0.1094,0.6959
2015-10-02,2015-10-02 12:15:00,Previous High,102.25,102.275,0.1271,-0.0685,Between Previous High and Low,Friday,0.9193,-0.0685
2015-10-06,2015-10-06 11:37:00,Previous Low,104.55,104.57,-0.153,0.0383,Between Previous High and Low,Tuesday,-0.3539,0.0957
2015-10-07,2015-10-07 09:30:00,Previous High,105.6,105.57,-0.3314,0.0473,Above Previous High,Wednesday,-0.3314,0.2462
2015-10-08,2015-10-08 12:49:00,Previous Low,104.29,104.3,-0.0767,0.1438,Between Previous High and Low,Thursday,-0.0767,0.4603
2015-10-08,2015-10-08 15:01:00,Previous High,105.86,105.93,0.3023,0.0567,Between Previous High and Low,Thursday,0.3495,-0.1464
2015-10-09,2015-10-09 09:44:00,Previous High,106.23,106.22,0.1789,-0.0658,Between Previous High and Low,Friday,0.4048,-0.3577
2015-10-13,2015-10-13 09:38:00,Previous Low,106.35,106.3,0.2163,-0.0564,Below Previous Low,Tuesday,0.6112,-0.0564
2015-10-13,2015-10-13 10:30:00,Previous High,106.9899,106.98,0.0085,-0.1401,Below Previous Low,Tuesday,0.2525,-0.1401
2015-10-14,2015-10-14 10:17:00,Previous Low,106.0,105.91,-0.3396,-0.0189,Between Previous High and Low,Wednesday,-0.4811,-0.0189
2015-10-15,2015-10-15 09:39:00,Previous High,106.63,106.56,0.2345,-0.1125,Between Previous High and Low,Thursday,0.2345,-0.1782
2015-10-16,2015-10-16 09:34:00,Previous High,107.675,107.68,-0.0882,0.0853,Above Previous High,Friday,-0.1161,0.1904
2015-10-19,2015-10-19 09:57:00,Previous High,108.2,108.25,0.1571,-0.0555,Between Previous High and Low,Monday,0.2495,-0.1294
2015-10-21,2015-10-21 09:30:00,Previous High,108.78,108.6699,-0.0368,-0.3861,Between Previous High and Low,Wednesday,0.0552,-0.7906
2015-10-21,2015-10-21 13:19:00,Previous Low,107.81,107.76,-0.2226,0.0,Between Previous High and Low,Wednesday,-0.2412,0.167
2015-10-22,2015-10-22 09:46:00,Previous High,108.84,108.74,0.1929,-0.1654,Between Previous High and Low,Thursday,0.3675,-0.1654
2015-10-27,2015-10-27 11:04:00,Previous High,113.07,113.195,0.1503,0.0088,Between Previous High and Low,Tuesday,0.1503,-0.1857
2015-10-28,2015-10-28 09:31:00,Previous High,113.24,113.15,-0.3444,-0.0795,Above Previous High,Wednesday,-0.4504,-0.0088
2015-10-29,2015-10-29 15:44:00,Previous High,114.03,114.02,-0.0088,-0.1666,Between Previous High and Low,Thursday,-0.0088,-0.2455
2015-10-30,2015-10-30 09:31:00,Previous High,114.03,114.03,0.0438,-0.1491,Between Previous High and Low,Friday,0.0438,-0.2455
2015-10-30,2015-10-30 15:59:00,Previous Low,113.38,113.33,-0.1058,0.0,Between Previous High and Low,Friday,-0.1058,0.0
2015-11-02,2015-11-02 10:29:00,Previous High,114.08,114.05,-0.0088,-0.0877,Between Previous High and Low,Monday,0.1753,-0.4256
2015-11-03,2015-11-03 11:33:00,Previous High,114.745,114.72,0.1525,-0.0174,Between Previous High and Low,Tuesday,0.2483,-0.0174
2015-11-04,2015-11-04 09:31:00,Previous High,115.42,115.42,0.0433,-0.104,Between Previous High and Low,Wednesday,0.0433,-0.5112
2015-11-05,2015-11-05 10:27:00,Previous Low,114.54,114.45,-0.2881,-0.0175,Between Previous High and Low,Thursday,-0.3754,-0.0087
2015-11-06,2015-11-06 10:04:00,Previous Low,114.11,114.03,-0.3067,0.057,Between Previous High and Low,Friday,-0.3067,0.7098
2015-11-09,2015-11-09 10:20:00,Previous Low,113.76,113.73,-0.1582,0.0361,Between Previous High and Low,Monday,-0.5362,0.0527
2015-11-10,2015-11-10 09:41:00,Previous Low,112.865,112.83,-0.1639,0.1285,Between Previous High and Low,Tuesday,-0.2082,0.288
2015-11-11,2015-11-11 09:33:00,Previous High,113.39,113.41,-0.097,0.097,Above Previous High,Wednesday,-0.3263,0.097
2015-11-12,2015-11-12 10:10:00,Previous Low,112.95,112.97,0.1151,-0.0797,Below Previous Low,Thursday,0.2479,-0.2656
2015-11-16,2015-11-16 09:33:00,Previous Low,109.78,109.8499,0.4737,-0.0364,Below Previous Low,Monday,0.6103,-0.0364
2015-11-17,2015-11-17 09:32:00,Previous High,111.48,111.46,-0.1256,0.1366,Above Previous High,Tuesday,-0.1346,0.305
2015-11-18,2015-11-18 09:55:00,Previous High,112.29,112.281,0.0089,-0.1514,Between Previous High and Low,Wednesday,0.0801,-0.1959
2015-11-19,2015-11-19 09:30:00,Previous High,113.74,113.71,0.0352,-0.2198,Between Previous High and Low,Thursday,0.2022,-0.2198
2015-11-20,2015-11-20 09:30:00,Previous High,114.23,114.2,-0.0787,0.0438,Above Previous High,Friday,-0.0787,0.2976
2015-11-23,2015-11-23 09:40:00,Previous High,114.57,114.58,0.1484,-0.0175,Between Previous High and Low,Monday,0.3229,-0.0611
2015-11-23,2015-11-23 14:03:00,Previous Low,114.14,114.0501,-0.2103,-0.0569,Between Previous High and Low,Monday,-0.4205,-0.0569
2015-11-24,2015-11-24 09:34:00,Previous Low,113.66,113.635,0.0879,-0.22,Below Previous Low,Tuesday,0.1408,-0.6775
2015-11-25,2015-11-25 10:19:00,Previous High,114.32,114.289,-0.0126,-0.1662,Between Previous High and Low,Wednesday,0.035,-0.2362
2015-11-27,2015-11-27 09:30:00,Previous High,114.36,114.36,-0.1312,0.07,Above Previous High,Friday,-0.3847,0.07
2015-11-30,2015-11-30 09:33:00,Previous High,114.541,114.565,-0.1318,0.0252,Above Previous High,Monday,-0.4636,0.0602
2015-12-01,2015-12-01 09:44:00,Previous High,114.65,114.63,0.2529,-0.0262,Between Previous High and Low,Tuesday,0.3053,-0.2617
2015-12-02,2015-12-02 13:58:00,Previous High,115.16,115.16,-0.2518,0.0087,Above Previous High,Wednesday,-0.7555,0.0087
2015-12-03,2015-12-03 09:47:00,Previous Low,114.28,114.35,-0.0525,0.21,Between Previous High and Low,Thursday,-0.4288,0.21
